"Service ID","Service name","Line type","Detail"
"organization-setup","Organization Setup","Included deliverable","Stakeholder discovery sessions and constraints review"
"organization-setup","Organization Setup","Included deliverable","Technology and tooling recommendations aligned to your scale"
"organization-setup","Organization Setup","Included deliverable","Process and workflow outline (roles, handoffs, basics of governance)"
"organization-setup","Organization Setup","Included deliverable","Written roadmap and next-step checklist you can execute internally"
"organization-setup","Organization Setup","Included deliverable","One structured handover or Q&A workshop"
"organization-setup","Organization Setup","Quoted separately","End-to-end rollout across departments, dedicated PM, and ongoing operating support are quoted after scope."
"organization-setup","Organization Setup","Capability area","Technology Stack Selection"
"organization-setup","Organization Setup","Capability area","Process & Workflow Design"
"organization-setup","Organization Setup","Capability area","Team Structure & Roles"
"organization-setup","Organization Setup","Capability area","Governance & Policies"
"organization-setup","Organization Setup","Capability area","Documentation & Knowledge Base"
"software-app-development","Software & App Development","Included deliverable","Requirements workshop and backlog for the agreed scope"
"software-app-development","Software & App Development","Included deliverable","UI implementation for screens in scope (design may be separate or bundled)"
"software-app-development","Software & App Development","Included deliverable","APIs and integrations explicitly listed in the statement of work"
"software-app-development","Software & App Development","Included deliverable","Tested build deployed to your hosting or ours for go-live"
"software-app-development","Software & App Development","Included deliverable","Post-launch stabilization window as agreed in the proposal"
"software-app-development","Software & App Development","Quoted separately","Second mobile codebase, heavy third-party integrations, compliance-heavy sectors, and 24/7 operations are priced after technical discovery."
"software-app-development","Software & App Development","Capability area","Web Applications (SPA, PWA)"
"software-app-development","Software & App Development","Capability area","Mobile Apps (iOS & Android)"
"software-app-development","Software & App Development","Capability area","APIs & Integrations"
"software-app-development","Software & App Development","Capability area","E-commerce & Portals"
"software-app-development","Software & App Development","Capability area","Legacy Modernization"
"infrastructure-cloud","Infrastructure & Cloud","Included deliverable","Architecture or target-state diagram for the agreed slice"
"infrastructure-cloud","Infrastructure & Cloud","Included deliverable","Implementation of agreed automation (e.g. pipeline, basic IaC) in your cloud account"
"infrastructure-cloud","Infrastructure & Cloud","Included deliverable","Runbook or handover notes for your team"
"infrastructure-cloud","Infrastructure & Cloud","Included deliverable","Knowledge transfer session on what was built"
"infrastructure-cloud","Infrastructure & Cloud","Quoted separately","Multi-account landing zones, Kubernetes production hardening, and 24/7 on-call are quoted separately."
"infrastructure-cloud","Infrastructure & Cloud","Capability area","Cloud Migration & Setup"
"infrastructure-cloud","Infrastructure & Cloud","Capability area","CI/CD Pipelines"
"infrastructure-cloud","Infrastructure & Cloud","Capability area","Infrastructure as Code"
"infrastructure-cloud","Infrastructure & Cloud","Capability area","Monitoring & Alerting"
"infrastructure-cloud","Infrastructure & Cloud","Capability area","Cost Optimization"
"security-compliance","Security & Compliance","Included deliverable","Scoped assessment against agreed systems or product areas"
"security-compliance","Security & Compliance","Included deliverable","Risk and gap summary with severity and effort hints"
"security-compliance","Security & Compliance","Included deliverable","Prioritized remediation backlog you can execute with us or internally"
"security-compliance","Security & Compliance","Included deliverable","Walkthrough of results with your stakeholders"
"security-compliance","Security & Compliance","Quoted separately","Formal compliance programs (e.g. ISO 27001, SOC 2 readiness), pen tests, and recurring vCISO-style support are quoted as separate packages."
"security-compliance","Security & Compliance","Capability area","Security Audits & Assessments"
"security-compliance","Security & Compliance","Capability area","Compliance (GDPR, SOC2, ISO)"
"security-compliance","Security & Compliance","Capability area","Access Control & IAM"
"security-compliance","Security & Compliance","Capability area","Incident Response"
"security-compliance","Security & Compliance","Capability area","Security Training"
"automation-ai","Automation & AI","Included deliverable","Process mapping and automation design for agreed flows"
"automation-ai","Automation & AI","Included deliverable","Build of connectors, bots, or workflows in the chosen stack"
"automation-ai","Automation & AI","Included deliverable","Basic monitoring and error handling for automated paths"
"automation-ai","Automation & AI","Included deliverable","Documentation and operator handover"
"automation-ai","Automation & AI","Quoted separately","Fine-tuned models, high-volume document AI, human-in-the-loop review UIs, and enterprise SLAs are scoped after a short discovery."
"automation-ai","Automation & AI","Capability area","Process Automation (RPA)"
"automation-ai","Automation & AI","Capability area","Workflow & Integration Automation"
"automation-ai","Automation & AI","Capability area","AI/ML Models & Pipelines"
"automation-ai","Automation & AI","Capability area","Chatbots & Virtual Assistants"
"automation-ai","Automation & AI","Capability area","Data & Analytics Automation"
"it-support-maintenance","IT Support & Maintenance","Included deliverable","Defined coverage window and response targets per severity"
"it-support-maintenance","IT Support & Maintenance","Included deliverable","Ticketing or agreed channel for requests"
"it-support-maintenance","IT Support & Maintenance","Included deliverable","Routine patching and updates within agreed scope"
"it-support-maintenance","IT Support & Maintenance","Included deliverable","Monthly or quarterly health summary (tier-dependent)"
"it-support-maintenance","IT Support & Maintenance","Quoted separately","24/7 coverage, dedicated on-call, and major version upgrades may require a higher tier or add-on quote."
"it-support-maintenance","IT Support & Maintenance","Capability area","Helpdesk & Ticketing"
"it-support-maintenance","IT Support & Maintenance","Capability area","Monitoring & Alerts"
"it-support-maintenance","IT Support & Maintenance","Capability area","Updates & Patching"
"it-support-maintenance","IT Support & Maintenance","Capability area","Backup & Recovery"
"it-support-maintenance","IT Support & Maintenance","Capability area","Performance Tuning"
"consulting-strategy","Consulting & Strategy","Included deliverable","Facilitated sessions with your leadership or product owners"
"consulting-strategy","Consulting & Strategy","Included deliverable","Synthesis of goals, constraints, and options"
"consulting-strategy","Consulting & Strategy","Included deliverable","Prioritized roadmap or decision memo"
"consulting-strategy","Consulting & Strategy","Included deliverable","Optional follow-up Q&A session"
"consulting-strategy","Consulting & Strategy","Quoted separately","Vendor scoring matrices, full RFP management, and multi-month transformation programs are scoped separately."
"consulting-strategy","Consulting & Strategy","Capability area","Digital & Technology Strategy"
"consulting-strategy","Consulting & Strategy","Capability area","Vendor Selection & Due Diligence"
"consulting-strategy","Consulting & Strategy","Capability area","Roadmap & Prioritization"
"consulting-strategy","Consulting & Strategy","Capability area","Digital Transformation"
"consulting-strategy","Consulting & Strategy","Capability area","Training & Workshops"
"presentation-document-services","Presentation & Document Services","Included deliverable","Agreed slide or page count and master layout system"
"presentation-document-services","Presentation & Document Services","Included deliverable","On-brand visuals, charts, and iconography as scoped"
"presentation-document-services","Presentation & Document Services","Included deliverable","Fixed number of revision rounds (stated in proposal)"
"presentation-document-services","Presentation & Document Services","Included deliverable","Source files in PowerPoint / Slides / PDF as agreed"
"presentation-document-services","Presentation & Document Services","Quoted separately","Custom illustration, motion/video, multilingual versions, and same-day turnaround are add-ons."
"presentation-document-services","Presentation & Document Services","Capability area","Custom Proposal Creation"
"presentation-document-services","Presentation & Document Services","Capability area","Investor Pitch Deck Design"
"presentation-document-services","Presentation & Document Services","Capability area","Company Profile Design"
"presentation-document-services","Presentation & Document Services","Capability area","Sales Deck & Marketing Presentations"
"presentation-document-services","Presentation & Document Services","Capability area","Training & Educational PPTs"
"presentation-document-services","Presentation & Document Services","Capability area","Infographic Design"
"presentation-document-services","Presentation & Document Services","Capability area","Report & Documentation Formatting"
"marketing-seo-optimization","Marketing & SEO Optimization","Included deliverable","Monthly plan with prioritized SEO or growth tasks"
"marketing-seo-optimization","Marketing & SEO Optimization","Included deliverable","Reporting on rankings, traffic, or campaign KPIs as agreed"
"marketing-seo-optimization","Marketing & SEO Optimization","Included deliverable","On-page and technical fixes within the retainer hour budget"
"marketing-seo-optimization","Marketing & SEO Optimization","Included deliverable","Quarterly roadmap refresh where applicable"
"marketing-seo-optimization","Marketing & SEO Optimization","Quoted separately","Ad spend (Meta, Google, etc.), large-scale content production, and influencer or PR retainers are quoted separately."
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Search Engine Optimization (SEO)"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Website SEO Audit & Optimization"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Keyword Research & Strategy"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","On-Page SEO Optimization"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Technical SEO Setup"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Local SEO (Google Business Profile Optimization)"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Content Marketing Strategy"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Social Media Marketing"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Performance Marketing Campaigns"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Lead Generation & Conversion Optimization"
"marketing-seo-optimization","Marketing & SEO Optimization","Capability area","Marketing Automation Setup"
"database-development-integration","Database Development & Integration Services","Included deliverable","Target schema or integration design for the agreed scope"
"database-development-integration","Database Development & Integration Services","Included deliverable","Implementation scripts or services with basic tests"
"database-development-integration","Database Development & Integration Services","Included deliverable","Cutover or rollout plan for the scoped data move"
"database-development-integration","Database Development & Integration Services","Included deliverable","Handover documentation for operations"
"database-development-integration","Database Development & Integration Services","Quoted separately","CDC pipelines, zero-downtime cutovers, and regulatory data residency reviews are quoted after technical assessment."
"database-development-integration","Database Development & Integration Services","Capability area","Database Design & Development"
"database-development-integration","Database Development & Integration Services","Capability area","Database Architecture Planning"
"database-development-integration","Database Development & Integration Services","Capability area","Database Integration with Applications"
"database-development-integration","Database Development & Integration Services","Capability area","Data Migration (Old System to New System)"
"database-development-integration","Database Development & Integration Services","Capability area","API Development & Database Integration"
"database-development-integration","Database Development & Integration Services","Capability area","Backend & Database Connectivity Setup"
"database-development-integration","Database Development & Integration Services","Capability area","Cloud Database Integration"
"database-development-integration","Database Development & Integration Services","Capability area","Custom Data Management Solutions"
"database-development-integration","Database Development & Integration Services","Capability area","Third-Party System Integration"
