"Service ID","Service name","One-line summary","What we provide (detailed)","Starting price (public)","Typical scope at this price","Billing / engagement model","Pricing justification — why this range","Included in starting scope (contract deliverables)","Not included / quoted separately","Capability areas (what we help with)","Tools & technologies","Typical phases"
"organization-setup","Organization Setup","Structured setup of your technology and processes so your organization can scale with clarity and control.","We help you establish a solid technology foundation from day one. From tooling and workflows to governance and team structure, we design an organization setup that aligns with your goals and grows with you.","From ₹50,000","Discovery workshop, tooling plan, and rollout roadmap. Larger programs quoted after scope.","Project-based · phased milestones","Leadership gets clarity before larger spend: the entry fee matches a bounded discovery and design outcome (sessions, recommendations, written roadmap). Full multi-team rollout and dedicated PM work are quoted separately because effort scales with headcount and systems.","Stakeholder discovery sessions and constraints review | Technology and tooling recommendations aligned to your scale | Process and workflow outline (roles, handoffs, basics of governance) | Written roadmap and next-step checklist you can execute internally | One structured handover or Q&A workshop","End-to-end rollout across departments, dedicated PM, and ongoing operating support are quoted after scope.","Technology Stack Selection | Process & Workflow Design | Team Structure & Roles | Governance & Policies | Documentation & Knowledge Base","Notion; Slack; Jira; GitHub; Google Workspace","Discovery → Design → Implementation → Handover"
"software-app-development","Software & App Development","Custom web and mobile applications built with modern stacks for performance, scale, and great user experience.","We build software that works. From responsive web apps to native and cross-platform mobile applications, we use proven technologies and agile practices to deliver on time and within budget.","From ₹1,50,000","Typical MVPs and focused product builds. Enterprise and multi-platform apps scoped separately.","Fixed phases, milestone billing, or retainer","Cost follows scope and risk: a defined backlog and one primary platform keeps design-build-test predictable. Milestone billing ties payments to delivered value. Extra platforms, heavy integrations, or regulated sectors need technical discovery before a fixed quote.","Requirements workshop and backlog for the agreed scope | UI implementation for screens in scope (design may be separate or bundled) | APIs and integrations explicitly listed in the statement of work | Tested build deployed to your hosting or ours for go-live | Post-launch stabilization window as agreed in the proposal","Second mobile codebase, heavy third-party integrations, compliance-heavy sectors, and 24/7 operations are priced after technical discovery.","Web Applications (SPA, PWA) | Mobile Apps (iOS & Android) | APIs & Integrations | E-commerce & Portals | Legacy Modernization","React; Next.js; Node.js; React Native; TypeScript","Requirements → Design → Development → Launch"
"website-development","Website Development","Business websites and landing pages—fast, responsive, and easy to manage—without the cost of a full custom product build.","We design and build professional websites for brands, startups, and local businesses. From sharp one-page landings to small multi-page marketing sites, we focus on clarity, performance, mobile-first layout, and essentials like contact forms and basic SEO—so you can launch quickly and grow into larger builds when you are ready.","From ₹10,999","Compact landing or small multi-page sites. E-commerce, member portals, and app-style products quoted separately.","Fixed-scope project · milestone billing","Entry pricing targets a bounded website scope (agreed pages, responsive layout, go-live) so effort is predictable. Larger sites, custom backends, and commerce need discovery because integrations and content volume drive cost.","Kickoff brief to lock pages, sections, and must-have features | Responsive implementation for the agreed page set | Contact or lead form (or equivalent CTA) as scoped | Deployment to agreed hosting or our recommended setup | Basic on-page SEO setup (titles, meta, semantic structure) | Handover walkthrough and agreed revision round(s) in the proposal","Online stores, bookings, dashboards, custom backends, and multilingual or large content programs are scoped as separate phases.","Business & portfolio websites | Landing pages & campaign pages | Multi-page marketing sites | CMS-friendly builds where needed | Responsive, mobile-first design | Performance & basic SEO setup","React; Next.js; Tailwind CSS; Vercel; WordPress","Brief → Design → Build → Launch"
"infrastructure-cloud","Infrastructure & Cloud","Reliable, scalable cloud infrastructure and DevOps practices so your systems stay secure and performant.","We design and manage cloud infrastructure that scales. Whether you are on AWS, Azure, or Google Cloud, we help you optimize costs, automate deployments, and maintain high availability.","From ₹45,000","One-time setup, migration, or pipeline work. Ongoing DevOps retainers from ₹25,000/mo.","One-time projects + optional monthly retainer","Entry pricing targets one clear slice (e.g. baseline environment, CI/CD for one app, small migration batch) with a defined handover. Broader estates, production hardening, and always-on operations move to phased quotes or a retainer.","Architecture or target-state diagram for the agreed slice | Implementation of agreed automation (e.g. pipeline, basic IaC) in your cloud account | Runbook or handover notes for your team | Knowledge transfer session on what was built","Multi-account landing zones, Kubernetes production hardening, and 24/7 on-call are quoted separately.","Cloud Migration & Setup | CI/CD Pipelines | Infrastructure as Code | Monitoring & Alerting | Cost Optimization","AWS; Azure; GCP; Docker; Kubernetes; Terraform","Assessment → Design → Migration → Operate"
"security-compliance","Security & Compliance","Protect your data and systems with security best practices and compliance frameworks tailored to your industry.","Security and compliance are built into our approach. We help you assess risks, implement controls, and prepare for audits so you can operate with confidence and meet regulatory requirements.","From ₹65,000","Assessments and remediation sprints. Full compliance programs (ISO, SOC 2, etc.) on quote.","Assessment sprint · remediation quoted separately","The starting fee funds a focused assessment (interviews, configuration review, prioritized findings). That produces an actionable backlog. Full programs, pen tests, and ongoing advisory are separate because effort and evidence requirements vary sharply by framework and maturity.","Scoped assessment against agreed systems or product areas | Risk and gap summary with severity and effort hints | Prioritized remediation backlog you can execute with us or internally | Walkthrough of results with your stakeholders","Formal compliance programs (e.g. ISO 27001, SOC 2 readiness), pen tests, and recurring vCISO-style support are quoted as separate packages.","Security Audits & Assessments | Compliance (GDPR, SOC2, ISO) | Access Control & IAM | Incident Response | Security Training","OWASP; Vault; SIEM; Pen Testing Tools","Audit → Remediation → Documentation → Ongoing"
"automation-ai","Automation & AI","Streamline operations and unlock insights with process automation and AI solutions tailored to your business.","We combine process automation and AI to reduce manual work and improve decisions. From RPA and workflow automation to custom ML models and integrations with LLMs, we deliver practical, measurable results.","From ₹1,20,000","Workflow automation and integrations. Custom AI/ML and LLM features priced to your use case.","Fixed automation packs or time-and-materials","Early budgets usually cover one or two high-friction workflows or a bounded integration (e.g. CRM ↔ billing). That bounds build and test effort. Large RPA estates, custom models, and production LLM features scale with data volume, safety review, and hosting—priced after discovery.","Process mapping and automation design for agreed flows | Build of connectors, bots, or workflows in the chosen stack | Basic monitoring and error handling for automated paths | Documentation and operator handover","Fine-tuned models, high-volume document AI, human-in-the-loop review UIs, and enterprise SLAs are scoped after a short discovery.","Process Automation (RPA) | Workflow & Integration Automation | AI/ML Models & Pipelines | Chatbots & Virtual Assistants | Data & Analytics Automation","Python; OpenAI; LangChain; n8n; Power Automate","Discovery → Design → Build → Deploy"
"it-support-maintenance","IT Support & Maintenance","Proactive support and maintenance so your systems run smoothly and issues are resolved quickly.","We provide ongoing IT support and maintenance for the solutions we build and for existing systems. From helpdesk and monitoring to patches and upgrades, we keep your technology running reliably.","From ₹18,000/mo","Monthly retainers with defined SLAs. Ad-hoc support and hourly blocks also available.","Monthly retainer (SLA-based) or prepaid hours","Retainers align fee to coverage: response targets, channels, and included maintenance. Higher tiers add monitoring and faster critical response. This avoids surprise hourly bills for teams that want predictability.","Defined coverage window and response targets per severity | Ticketing or agreed channel for requests | Routine patching and updates within agreed scope | Monthly or quarterly health summary (tier-dependent)","24/7 coverage, dedicated on-call, and major version upgrades may require a higher tier or add-on quote.","Helpdesk & Ticketing | Monitoring & Alerts | Updates & Patching | Backup & Recovery | Performance Tuning","Jira; PagerDuty; Datadog; GitHub Actions","Onboarding → Run → Improve → Report"
"consulting-strategy","Consulting & Strategy","Technology and digital strategy advice to align your roadmap with business goals and market opportunities.","We work with leadership and teams to shape technology and digital strategy. From due diligence and vendor selection to roadmap planning and digital transformation, we provide clear, actionable guidance.","From ₹35,000","Strategy sprints and workshops. Ongoing advisory available on a monthly retainer.","Sprint workshop · optional advisory retainer","A short sprint produces decisions and a roadmap from interviews and artifact review—fixed effort. Long RFP cycles, vendor diligence, and embedded advisory scale with duration and stakeholders, so they are follow-on quotes.","Facilitated sessions with your leadership or product owners | Synthesis of goals, constraints, and options | Prioritized roadmap or decision memo | Optional follow-up Q&A session","Vendor scoring matrices, full RFP management, and multi-month transformation programs are scoped separately.","Digital & Technology Strategy | Vendor Selection & Due Diligence | Roadmap & Prioritization | Digital Transformation | Training & Workshops","Strategy Frameworks; OKRs; Roadmapping Tools","Understand → Analyze → Recommend → Support"
"presentation-document-services","Presentation & Document Services","Business presentation (PPT) design and document formatting that communicate your message clearly and professionally.","We create polished presentations and documents that win stakeholders and convey your brand. From investor pitch decks and company profiles to sales decks, training materials, and reports, we deliver professional design and clear structure.","From ₹12,000","Per deck or document package. Pitch decks, profiles, and reports with revision rounds included.","Per deliverable · fixed rounds of revision","Price scales with slide/page count, brand complexity, narrative work vs polish-only, and agreed revision rounds—stated in the proposal so scope is objective. Rush, motion, and illustration are add-ons because they compress calendar time or need specialist work.","Agreed slide or page count and master layout system | On-brand visuals, charts, and iconography as scoped | Fixed number of revision rounds (stated in proposal) | Source files in PowerPoint / Slides / PDF as agreed","Custom illustration, motion/video, multilingual versions, and same-day turnaround are add-ons.","Custom Proposal Creation | Investor Pitch Deck Design | Company Profile Design | Sales Deck & Marketing Presentations | Training & Educational PPTs | Infographic Design | Report & Documentation Formatting","PowerPoint; Google Slides; Keynote; Canva; Adobe InDesign","Brief → Structure → Design → Deliver"
"marketing-seo-optimization","Marketing & SEO Optimization","Grow visibility and conversions with SEO, content marketing, performance campaigns, and marketing automation.","We help you rank higher, reach the right audience, and convert leads. From technical and on-page SEO to content strategy, social media, performance marketing, and automation, we deliver data-driven campaigns that align with your business goals.","From ₹28,000/mo","Retainers for SEO, content, and campaigns. One-time technical SEO audits from ₹45,000.","Monthly growth retainer · one-time audits available","Monthly fee covers a defined scope of execution and reporting (hours or task buckets). Ad spend passes through or sits on your accounts; our fee is for strategy, build, and optimization. Audits are one-time when you need a baseline before ongoing work.","Monthly plan with prioritized SEO or growth tasks | Reporting on rankings, traffic, or campaign KPIs as agreed | On-page and technical fixes within the retainer hour budget | Quarterly roadmap refresh where applicable","Ad spend (Meta, Google, etc.), large-scale content production, and influencer or PR retainers are quoted separately.","Search Engine Optimization (SEO) | Website SEO Audit & Optimization | Keyword Research & Strategy | On-Page SEO | Technical SEO | Local SEO (Google Business Profile) | Content Marketing | Social Media | Performance Marketing | Lead Gen & CRO | Marketing Automation","Google Analytics; Search Console; Ahrefs; SEMrush; Meta Ads; Google Ads","Audit → Strategy → Execute → Optimize"
"database-development-integration","Database Development & Integration Services","Robust database design, integration, and data migration so your applications and systems work on a solid data foundation.","We design and build databases that scale and integrate seamlessly with your apps and third-party systems. From architecture and migration to APIs, backend connectivity, and cloud databases, we deliver reliable data solutions.","From ₹55,000","Schema design, migration, APIs, and integrations. Complex multi-system work quoted after discovery.","Milestone project · schema / migration / API slices","Starting budgets map to one concrete outcome (v1 schema/ERD, bounded migration with validation, or APIs for a specific integration). That caps risk and effort. Legacy decomposition and real-time sync at scale are phased because unknowns are technical.","Target schema or integration design for the agreed scope | Implementation scripts or services with basic tests | Cutover or rollout plan for the scoped data move | Handover documentation for operations","CDC pipelines, zero-downtime cutovers, and regulatory data residency reviews are quoted after technical assessment.","Database Design & Development | Database Architecture Planning | Database Integration with Applications | Data Migration | API Development & Database Integration | Backend & DB Connectivity | Cloud Database Integration | Custom Data Management | Third-Party System Integration","PostgreSQL; MongoDB; MySQL; Redis; AWS RDS; REST/GraphQL","Assess → Design → Build → Deploy"
